iter,train_loss,lr,mfu,dt_ms,tokens_seen
0,10.9067,3.992016e-05,-1.0,6043.4,0
10,10.7292,0.0004391218,0.1061,2029.56,983040
20,10.1309,0.0008383234,0.1061,2034.9,1966080
30,9.5424,0.001237525,0.106,2041.98,2949120
40,9.0587,0.001636727,0.1059,2047.7,3932160
50,8.6534,0.002035928,0.1058,2051.64,4915200
60,8.4667,0.00243513,0.1057,2052.57,5898240
70,7.8016,0.002834331,0.1056,2053.9,6881280
80,7.8655,0.003233533,0.1055,2054.46,7864320
90,7.7205,0.003632735,0.1055,2054.87,8847360
100,7.4513,0.004031936,0.0982,6614.62,9830400
110,7.6058,0.004431138,0.0988,2055.77,10813440
120,7.1918,0.004830339,0.0994,2057.03,11796480
130,6.8766,0.005229541,0.0999,2056.47,12779520
140,6.476,0.005628743,0.1004,2056.3,13762560
150,6.7413,0.006027944,0.1008,2056.65,14745600
160,6.6195,0.006427146,0.1012,2058.55,15728640
170,6.0674,0.006826347,0.1016,2056.78,16711680
180,6.3883,0.007225549,0.1019,2058.46,17694720
190,6.1426,0.00762475,0.1022,2057.31,18677760
200,6.1509,0.008023952,0.0952,6595.52,19660800
210,6.0019,0.008423154,0.0961,2062.83,20643840
220,5.9303,0.008822355,0.0969,2062.85,21626880
230,5.5333,0.009221557,0.0977,2062.74,22609920
240,5.803,0.009620758,0.0984,2063.23,23592960
250,5.642,0.01001996,0.099,2063.64,24576000
260,5.7014,0.01041916,0.0995,2064.06,25559040
270,5.9608,0.01081836,0.1,2063.46,26542080
280,5.7198,0.01121756,0.1004,2064.31,27525120
290,5.8052,0.01161677,0.1008,2065.92,28508160
300,5.8068,0.01201597,0.0939,6727.4,29491200
310,5.2343,0.01241517,0.095,2063.69,30474240
320,5.5299,0.01281437,0.0959,2061.28,31457280
330,5.1431,0.01321357,0.0968,2061.22,32440320
340,5.0495,0.01361277,0.0975,2063.64,33423360
350,5.335,0.01401198,0.0982,2065.78,34406400
360,5.5859,0.01441118,0.0988,2063.99,35389440
370,5.5638,0.01481038,0.0993,2064.56,36372480
380,5.7115,0.01520958,0.0998,2064.51,37355520
390,5.0556,0.01560878,0.1003,2065.14,38338560
400,5.7341,0.01600798,0.0934,6859.65,39321600
410,5.0695,0.01640719,0.0945,2063.66,40304640
420,4.6153,0.01680639,0.0955,2065.13,41287680
430,4.6983,0.01720559,0.0964,2063.9,42270720
440,5.3941,0.01760479,0.0971,2065.17,43253760
450,4.5415,0.01800399,0.0978,2066.07,44236800
460,5.2585,0.01840319,0.0985,2065.63,45219840
470,4.8985,0.0188024,0.0991,2065.53,46202880
480,4.3886,0.0192016,0.0996,2064.94,47185920
490,5.0262,0.0196008,0.1,2067.41,48168960
500,5.3065,0.02,0.0932,6768.84,49152000
510,4.8208,0.01999995,0.0943,2059.32,50135040
520,4.9467,0.01999979,0.0953,2063.66,51118080
530,5.1328,0.01999953,0.0962,2065.54,52101120
540,5.1804,0.01999916,0.097,2065.04,53084160
550,4.8307,0.01999869,0.0978,2064.38,54067200
560,5.4279,0.01999812,0.0984,2063.84,55050240
570,5.0706,0.01999744,0.099,2064.81,56033280
580,5.197,0.01999665,0.0995,2063.95,57016320
590,5.0231,0.01999576,0.1,2064.31,57999360
600,4.9325,0.01999536,-1.0,6986.82,58982400
610,4.749,0.01999439,0.1067,2017.43,59965440
620,4.9152,0.01999332,0.1067,2025.58,60948480
630,4.1199,0.01999216,0.1066,2034.76,61931520
640,4.7551,0.01999091,0.1065,2043.15,62914560
650,4.6741,0.01998957,0.1064,2044.76,63897600
660,4.4716,0.01998813,0.1062,2046.2,64880640
670,4.5963,0.0199866,0.1061,2045.95,65863680
680,4.3493,0.01998498,0.106,2048.2,66846720
690,4.4523,0.01998326,0.1059,2048.07,67829760
700,4.2843,0.01998146,0.0985,6821.99,68812800
710,5.3533,0.01997956,0.0992,2047.47,69795840
720,4.6621,0.01997756,0.0998,2048.26,70778880
730,4.6161,0.01997548,0.1003,2048.25,71761920
740,4.2482,0.0199733,0.1008,2049.52,72744960
750,4.9404,0.01997103,0.1012,2050.98,73728000
760,4.8096,0.01996867,0.1016,2051.24,74711040
770,4.1676,0.01996621,0.1019,2049.68,75694080
780,4.5749,0.01996366,0.1022,2049.81,76677120
790,4.7486,0.01996102,0.1025,2049.16,77660160
800,4.6579,0.01995829,0.0954,6829.95,78643200
810,4.5998,0.01995547,0.0964,2051.97,79626240
820,4.3525,0.01995255,0.0972,2052.42,80609280
830,4.0006,0.01994954,0.098,2053.51,81592320
840,4.2084,0.01994644,0.0987,2054.73,82575360
850,4.3084,0.01994324,0.0993,2051.97,83558400
860,4.4635,0.01993996,0.0998,2053.27,84541440
870,4.5628,0.01993658,0.1003,2053.95,85524480
880,4.4435,0.01993311,0.1008,2053.61,86507520
890,4.6268,0.01992955,0.1012,2055.03,87490560
900,4.729,0.01992589,0.0943,6693.6,88473600
910,4.1073,0.01992214,0.0954,2046.83,89456640
920,4.4044,0.01991831,0.0964,2047.0,90439680
930,4.0425,0.01991437,0.0972,2050.13,91422720
940,4.1038,0.01991035,0.098,2048.51,92405760
950,4.3048,0.01990624,0.0987,2049.3,93388800
960,4.5259,0.01990203,0.0994,2049.93,94371840
970,4.6482,0.01989773,0.0999,2047.58,95354880
980,4.6157,0.01989334,0.1004,2049.15,96337920
990,4.2001,0.01988886,0.1009,2050.23,97320960
1000,4.5289,0.01988429,0.094,6732.19,98304000
1010,4.2773,0.01987962,0.0951,2048.39,99287040
1020,3.7503,0.01987486,0.0961,2047.94,100270080
1030,3.8596,0.01987001,0.097,2049.09,101253120
1040,4.6721,0.01986507,0.0978,2047.54,102236160
1050,3.7527,0.01986004,0.0986,2048.03,103219200
1060,4.6356,0.01985492,0.0992,2050.38,104202240
1070,4.2309,0.0198497,0.0998,2051.1,105185280
1080,3.7726,0.0198444,0.1003,2047.76,106168320
1090,4.4013,0.019839,0.1008,2049.95,107151360
1100,4.6465,0.01983351,0.0939,6736.53,108134400
1110,4.2533,0.01982793,0.095,2048.28,109117440
1120,4.3387,0.01982226,0.096,2049.38,110100480
1130,4.5876,0.0198165,0.0969,2050.14,111083520
1140,4.6741,0.01981065,0.0977,2050.63,112066560
1150,4.3448,0.0198047,0.0985,2050.11,113049600
1160,4.367,0.01979867,0.0991,2050.54,114032640
