iter,train_loss,lr,mfu,dt_ms,tokens_seen
0,10.9462,3.992016e-05,-1.0000,22985.81,0
10,10.7893,4.391218e-04,0.0064,4213.70,327680
20,10.4771,8.383234e-04,0.0064,4511.81,655360
30,9.9843,1.237525e-03,0.0063,4552.37,983040
40,9.5418,1.636727e-03,0.0063,4548.50,1310720
50,9.0526,2.035928e-03,0.0063,4569.09,1638400
60,8.6757,2.435130e-03,0.0062,4561.57,1966080
70,8.3322,2.834331e-03,0.0062,4545.56,2293760
80,8.0430,3.233533e-03,0.0062,4548.70,2621440
90,7.6278,3.632735e-03,0.0062,4546.69,2949120
100,7.2885,4.031936e-03,0.0056,25528.96,3276800
110,7.5317,4.431138e-03,0.0057,4560.45,3604480
120,7.0175,4.830339e-03,0.0057,4547.88,3932160
130,6.9550,5.229541e-03,0.0057,4551.74,4259840
140,6.8414,5.628743e-03,0.0057,4552.65,4587520
150,6.8346,6.027944e-03,0.0058,4577.41,4915200
160,6.7121,6.427146e-03,0.0058,4550.23,5242880
170,6.9560,6.826347e-03,0.0058,4564.84,5570560
180,6.5557,7.225549e-03,0.0058,4556.16,5898240
190,6.1015,7.624750e-03,0.0058,4562.85,6225920
200,6.4391,8.023952e-03,0.0053,25683.58,6553600
210,6.2324,8.423154e-03,0.0054,4565.78,6881280
220,6.0048,8.822355e-03,0.0055,4566.94,7208960
230,6.4371,9.221557e-03,0.0055,4557.04,7536640
240,6.2145,9.620758e-03,0.0055,4560.07,7864320
250,6.1133,1.001996e-02,0.0056,4578.39,8192000
260,5.9863,1.041916e-02,0.0056,4568.41,8519680
270,5.8770,1.081836e-02,0.0056,4566.73,8847360
280,5.8286,1.121756e-02,0.0057,4572.36,9175040
290,5.9317,1.161677e-02,0.0057,4559.38,9502720
300,5.9755,1.201597e-02,0.0052,25615.65,9830400
310,6.0945,1.241517e-02,0.0053,4582.30,10158080
320,6.3232,1.281437e-02,0.0054,4547.35,10485760
330,5.7629,1.321357e-02,0.0054,4554.82,10813440
340,6.0661,1.361277e-02,0.0055,4558.91,11141120
350,6.1070,1.401198e-02,0.0055,4548.40,11468800
360,6.0290,1.441118e-02,0.0056,4552.23,11796480
370,5.7541,1.481038e-02,0.0056,4554.51,12124160
380,6.1868,1.520958e-02,0.0056,4551.83,12451840
390,5.8942,1.560878e-02,0.0057,4571.86,12779520
400,5.9679,1.600798e-02,0.0052,25664.94,13107200
410,5.8472,1.640719e-02,0.0053,4560.80,13434880
420,5.5849,1.680639e-02,0.0053,4548.73,13762560
430,5.9049,1.720559e-02,0.0054,4558.85,14090240
440,5.8483,1.760479e-02,0.0055,4555.73,14417920
450,5.7377,1.800399e-02,0.0055,4578.30,14745600
460,5.7432,1.840319e-02,0.0055,4567.46,15073280
470,5.6500,1.880240e-02,0.0056,4547.05,15400960
480,5.8661,1.920160e-02,0.0056,4569.45,15728640
490,5.7774,1.960080e-02,0.0057,4545.56,16056320
500,5.5275,2.000000e-02,0.0052,25737.79,16384000
510,5.9363,1.999995e-02,0.0053,4573.49,16711680
520,5.4387,1.999978e-02,0.0053,4551.14,17039360
530,5.3543,1.999951e-02,0.0054,4564.68,17367040
540,5.5551,1.999914e-02,0.0054,4573.81,17694720
550,5.5331,1.999865e-02,0.0055,4545.95,18022400
560,5.6106,1.999806e-02,0.0055,4548.54,18350080
570,5.6737,1.999736e-02,0.0056,4563.59,18677760
580,5.7187,1.999655e-02,0.0056,4563.01,19005440
590,5.4282,1.999563e-02,0.0056,4550.32,19333120
600,5.4482,1.999461e-02,0.0052,25717.18,19660800
610,5.2335,1.999347e-02,0.0053,4570.04,19988480
620,5.3194,1.999223e-02,0.0053,4533.71,20316160
630,5.6265,1.999088e-02,0.0054,4570.28,20643840
640,5.5422,1.998943e-02,0.0054,4546.84,20971520
650,5.3697,1.998786e-02,0.0055,4554.15,21299200
660,5.3116,1.998619e-02,0.0055,4552.26,21626880
670,5.6692,1.998441e-02,0.0056,4559.83,21954560
680,5.2562,1.998253e-02,0.0056,4553.61,22282240
690,5.2799,1.998053e-02,0.0056,4557.49,22609920
700,5.4403,1.997843e-02,0.0052,25717.32,22937600
710,5.4187,1.997622e-02,0.0053,4587.31,23265280
